root@comp3134-winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:01.585742 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 144255700:144255808, ack 3544078045, win 501, length 108
20:32:01.585831 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 108:144, ack 1, win 501, length 36
20:32:01.585866 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 144:252, ack 1, win 501, length 108
20:32:01.585897 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 252:288, ack 1, win 501, length 36
20:32:01.586007 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 288:460, ack 1, win 501, length 172
20:32:01.586283 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 460:496, ack 1, win 501, length 36
20:32:01.586374 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 496:644, ack 1, win 501, length 148
20:32:01.586493 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 644:1012, ack 1, win 501, length 368
20:32:01.586529 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 1012:1048, ack 1, win 501, length 36
20:32:01.588489 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 460, win 512, length 0
20:32:01.588489 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 644, win 512, length 0
20:32:01.588536 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 1048:1968, ack 1, win 501, length 920
20:32:01.588628 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 1968:2100, ack 1, win 501, length 132
20:32:01.588661 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 2100:2136, ack 1, win 501, length 36
20:32:01.588696 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 2136:2268, ack 1, win 501, length 132
20:32:01.588730 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 2268:2304, ack 1, win 501, length 36
20:32:01.588741 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 1048, win 510, length 0
20:32:01.588787 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 2304:2452, ack 1, win 501, length 148
20:32:01.588824 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 2452:2488, ack 1, win 501, length 36
20:32:01.588868 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 2488:2636, ack 1, win 501, length 148
20:32:01.588906 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 2636:2672, ack 1, win 501, length 36
20:32:01.588948 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 2672:2820, ack 1, win 501, length 148
20:32:01.588985 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 2820:2856, ack 1, win 501, length 36
20:32:01.589029 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 2856:3004, ack 1, win 501, length 148
20:32:01.589062 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 3004:3040, ack 1, win 501, length 36
20:32:01.589103 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 3040:3188, ack 1, win 501, length 148
20:32:01.589138 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 3188:3224, ack 1, win 501, length 36
20:32:01.589169 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 3224:3356, ack 1, win 501, length 132
20:32:01.589203 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 3356:3392, ack 1, win 501, length 36
20:32:01.589234 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 3392:3540, ack 1, win 501, length 148
20:32:01.589266 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 3540:3576, ack 1, win 501, length 36
20:32:01.589296 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 3576:3724, ack 1, win 501, length 148
20:32:01.591024 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 2636, win 512, length 0
20:32:01.591060 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 3724:6152, ack 1, win 501, length 2428
20:32:01.591157 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 6152:6284, ack 1, win 501, length 132
20:32:01.591194 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 6284:6320, ack 1, win 501, length 36
20:32:01.591229 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 6320:6468, ack 1, win 501, length 148
20:32:01.591256 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 6468:6504, ack 1, win 501, length 36
20:32:01.591288 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 6504:6652, ack 1, win 501, length 148
20:32:01.591298 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 3724, win 508, length 0
