root@comp3134-winter2023:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:36.070942 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 148262244:148262352, ack 3544080981, win 501, length 108
20:32:36.071016 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 108:252, ack 1, win 501, length 144
20:32:36.071060 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 252:288, ack 1, win 501, length 36
20:32:36.073307 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 288, win 507, length 0
20:32:36.074738 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 288:460, ack 1, win 501, length 172
20:32:36.074817 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 460:496, ack 1, win 501, length 36
20:32:36.074937 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 496:652, ack 1, win 501, length 156
20:32:36.074986 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 652:688, ack 1, win 501, length 36
20:32:36.075035 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 688:844, ack 1, win 501, length 156
20:32:36.075075 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 844:880, ack 1, win 501, length 36
20:32:36.075119 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 880:1020, ack 1, win 501, length 140
20:32:36.075147 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 1020:1056, ack 1, win 501, length 36
20:32:36.075183 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 1056:1212, ack 1, win 501, length 156
20:32:36.075218 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 1212:1248, ack 1, win 501, length 36
20:32:36.077044 IP 198.96.84.224.50620 > comp3134-winter2023.ssh: Flags [.], ack 688, win 512, length 0
20:32:36.077093 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 1248:2976, ack 1, win 501, length 1728
20:32:36.077234 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 2976:3116, ack 1, win 501, length 140
20:32:36.077287 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 3116:3152, ack 1, win 501, length 36
20:32:36.077336 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 3152:3308, ack 1, win 501, length 156
20:32:36.077408 IP comp3134-winter2023.ssh > 198.96.84.224.50620: Flags [P.], seq 3308:3500, ack 1, win 501, length 192
